Drammen	-1	-1	800	-1	1135	1600	1800	2300
Gulskogen	-1	-1	803	-1	1137	1603	1802	2302
Daler	-1	-1	808	-1	1140	1608	1805	2305
Mjondalen	-1	-1	811	-1	1143	1611	1808	2308
Steinberg	-1	-1	813	-1	1145	1613	1810	2310
Hokksund	-1	-1	815	-1	1147	1615	1812	2318
Vestfossen	-1	-1	819	-1	1151	1618	1816	2322
Darbu	-1	-1	822	-1	1155	1622	1820	2326
Krekling	-1	-1	825	-1	1158	1625	1823	2329
Skollensborg	-1	-1	829	-1	1203	1629	1828	2334
Kongsberg	-1	-1	836	-1	1215	1636	1836	2343
Saggrenda	-1	-1	842	-1	1221	1642	1842	2349
Meheia	-1	-1	846	-1	1225	1646	1846	2353
Oysteinstul	-1	-1	854	-1	1232	1658	1853	2400
Hjuksebo	-1	-1	902	-1	1240	1707	1901	2408
Nordagutu	-1	-1	911	-1	1252	1716	1912	20
Gvarv	-1	-1	919	-1	1300	1724	1920	28
Bo	-1	-1	925	-1	1307	1730	1926	37
Lunde	-1	-1	937	-1	1319	1741	1937	49
Nakksjo	-1	-1	948	-1	1330	1752	1948	100
Drangedal	-1	-1	957	-1	1340	1801	2000	112
Neslandsvatn	-1	-1	1010	-1	1354	1814	2013	126
Lyser	-1	-1	1016	-1	1400	1820	2019	132
Gjerstad	-1	-1	1023	-1	1410	1826	2026	142
Skorstol	-1	-1	1031	-1	1418	1834	2034	150
Vegarshei	-1	-1	1041	-1	1429	1844	2044	203
Selasvatn	-1	-1	1048	-1	1436	1851	2051	210
Nelaug	-1	-1	1056	-1	1447	1859	2059	221
Heldalsmo	-1	-1	1102	-1	1453	1905	2105	227
Herefoss	-1	-1	1112	-1	1503	1915	2115	237
Fidjetun	-1	-1	1117	-1	1508	1920	2120	242
Oggevatn	-1	-1	1124	-1	1515	1927	2127	249
Grovane	-1	-1	1135	-1	1526	1938	2138	300
Vennesla	-1	-1	1142	-1	1537	1945	2145	318
Langemyr	-1	-1	1145	-1	1540	1948	2148	321
Dalane	-1	-1	1146	-1	1541	1949	2149	322
Kristiansand	515	803	1204	1404	1606	2009	-1	355
Sundal	518	807	1207	1408	1609	2012	-1	358
Nodeland	524	813	1215	1414	1615	2018	-1	405
Breland	531	822	1222	1421	1624	2028	-1	412
Marnardal	544	835	1234	1433	1637	2041	-1	425
Audnedal	600	849	1248	1447	1652	2054	-1	441
Snartemo	607	856	1255	1456	1658	2103	-1	448
Storekvina	615	904	1305	1504	1705	2111	-1	456
Gyland	624	914	1315	1514	1715	2121	-1	507
Bjorkevoll	630	920	1321	1520	1721	2127	-1	514
Sira	636	926	1327	1526	1728	2133	-1	523
Moi	643	934	1334	1534	1736	2140	-1	531
Heskestad	655	949	1346	1549	1748	2153	-1	543
Ualand	700	958	1351	1554	1753	2158	-1	548
Helleland	710	1008	1401	1604	1803	2207	-1	558
Egersund	721	1019	1412	1615	1816	2220	-1	611
Hellvik	726	1025	1417	1620	1821	2225	-1	619
Sirevag	729	1028	1420	1623	1824	2228	-1	624
Ogna	731	1030	1426	1628	1827	2230	-1	628
Brusand	733	1032	1429	1631	1829	2232	-1	631
Vigrestad	736	1034	1431	1633	1832	2234	-1	634
Varhaug	739	1037	1434	1636	1835	2237	-1	644
Naerbo	742	1040	1439	1642	1840	2240	-1	647
Bryne	747	1046	1452	1652	1847	2246	-1	653
Klepp	750	1049	1500	1659	1850	2249	-1	659
Oksnavadporten	752	1051	1502	1701	1852	2251	-1	701
Ganddal	754	1054	1506	1704	1854	2253	-1	706
Sandnes	756	1056	1508	1706	1856	2255	-1	708
SandnesS	758	1100	1513	1713	1900	2258	-1	713
Gausel	802	1104	1517	1717	1904	2302	-1	717
Jattavagen	805	1106	1521	1720	1906	2305	-1	720
Mariero	808	1109	1524	1723	1909	2308	-1	723
Paradis	810	1111	1526	1725	1911	2310	-1	725
StavangerS	812	1112	1527	1727	1912	2312	-1	727
